Ep_No,Brand,Male,Female,Location,Idea,Sector,Deal,Amount_Invested_lakhs,Amout_Asked,Debt_Invested,Debt_Asked,Equity_Taken_in_Prec,Equity_Asked_in_Prec,Avg_age,Team_members,Ashneer_Amount_Invested,Ashneer_Equity_Taken_in_Prec,Namita_Amount_Invested,Namita_Equity_Taken_in_Prec,Anupam_Amount_Invested,Anupam_Equity_Taken_in_Prec,Vineeta_Amount_Invested,Vineeta_Equity_Taken_in_Prec,Aman_Amount_Invested,Aman_Equity_Taken_in_Prec,Peyush_Amount_Invested,Peyush_Equity_Taken_in_Prec,Ghazal_Amount_Invested,Ghazal_Equity_Taken_in_Prec,Total_investors,Partners,Unwanted
27,Aliste Technologies,6,0,Noida,Automation Solutions,Technology,No Deal,0,60,0,0,0,5,20 to 25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Insurance Samadhan,2,1,Noida,Insurance Solutions,Finance,1 Crore for 4 perct Equity,100,100,0,0,4,1,30 to 35,5,0,0,0,0,0,0,0,0,0,0,100,4,0,0,1,Pey,0
28,Humpy A2,2,1,Pune,Organic Milk Products,Food,1 Crore for 15 perct Equity,100,100,0,0,15,15,35 to 40,3,0,0,0,0,0,0,33.33,5,0,0,33.33,5,33.33,5,3,Gha Pey Vin,1
28,Kunafa World,1,1,Bangalore,Kunafa,Food,No Deal,0,90,0,0,0,5,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Gold Safe Solutions Ind.,2,0,Mumbai,Anti Suicidal Fan Rod,Safety,50 lakhs for 30 perct Equity,50,50,0,0,30,5,30 to 35,2,0,0,0,0,0,0,16.6,10,0,0,16.6,10,16.6,10,3,Gha Pey Vin,1
29,Wakao Foods,1,0,Goa,Jackfruit Products,Food,75 lakhs for 21 perct Equity,75,75,0,0,21,5,30 to 35,1,0,0,25,7,0,0,25,7,0,0,0,0,25,7,3,Gha Nam Vin,0
29,PDD Falcon,1,1,Kaithal,Stainless Steel Items,Lifestyle,No Deal,0,75,0,0,0,3,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,PlayBox TV,2,0,Mumbai,Streaming Platform,Lifestyle,No Deal,0,100,0,0,0,3.5,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Sippline Drinking Shields,1,0,Pune,Portable Glass Attachment,Lifestyle,No Deal,0,75,0,0,0,15,30 to 35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Kabaddi Adda,2,1,Mumbai,Kabaddi Adda,Entertainment,80 lakhs for 6 perct Equity,80,80,0,0,6,1,35 to 40,3,0,0,40,3,0,0,40,3,0,0,0,0,0,0,2,Nam Vin,0
30,Shades of Spring,1,1,Bangalore,Flowers,Lifestyle,No Deal,0,300,0,0,0,1,30 to 35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Scholify,1,0,Bangalore,Scholarship Platform,Education,No Deal,0,50,0,0,0,7.5,25 to 30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
